"purchase_day";"ticket_price";"ticket_title";"ticket_sub_title";"tickets_count";"total_amount";"currency"
"2017-04-06 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"13";"15,86";"EUR"
"2017-04-06 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"83";"58,10";"EUR"
"2017-04-06 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"37";"7,03";"EUR"
"2017-04-06 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"88";"11,44";"EUR"
"2017-04-06 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"43";"1245,28";"EUR"
"2017-04-06 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"14";"364,98";"EUR"
"2017-04-06 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"6";"71,22";"EUR"
"2017-04-06 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"1";"6,08";"EUR"
"2017-04-06 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"16";"55,68";"EUR"
"2017-04-06 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"346";"321,78";"EUR"
"2017-04-06 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"5401";"3456,64";"EUR"
"2017-04-05 00:00:00";"14,48";"30 dienų";"30 dienų bilietas su 50% nuolaida";"3";"43,44";"EUR"
"2017-04-05 00:00:00";"13,03";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 50% nuolaida";"1";"13,03";"EUR"
"2017-04-05 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"4";"6,96";"EUR"
"2017-04-05 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"26";"11,96";"EUR"
"2017-04-05 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"478";"152,96";"EUR"
"2017-04-05 00:00:00";"17,38";"3 mėnesių";"3 mėnesių (90 dienų) bilietas su 80% nuolaida";"2";"34,76";"EUR"
"2017-04-05 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"54";"312,66";"EUR"
"2017-04-05 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"3";"15,63";"EUR"
"2017-04-05 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"10";"23,70";"EUR"
"2017-04-05 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"13";"15,86";"EUR"
"2017-04-05 00:00:00";"0,70";"1 dienos";"1 dienos (24 valandų) bilietas su 80% nuolaida";"43";"30,10";"EUR"
"2017-04-05 00:00:00";"0,19";"60 minučių";"60 minučių bilietas su 80% nuolaida";"13";"2,47";"EUR"
"2017-04-05 00:00:00";"0,13";"30 minučių";"30 minučių bilietas su 80% nuolaida";"113";"14,69";"EUR"
"2017-04-05 00:00:00";"28,96";"30 dienų";"30 dienų bilietas";"59";"1708,64";"EUR"
"2017-04-05 00:00:00";"26,07";"30 dienų";"30 d. bilietas, galiojantis tik darbo d.";"19";"495,33";"EUR"
"2017-04-05 00:00:00";"11,87";"10 dienų";"10 dienų (240 val.) bilietas";"6";"71,22";"EUR"
"2017-04-05 00:00:00";"6,08";"3 dienų";"3 dienų (72 valandų) bilietas";"3";"18,24";"EUR"
"2017-04-05 00:00:00";"3,48";"1 dienos";"1 dienos (24 valandų) bilietas";"8";"27,84";"EUR"
"2017-04-05 00:00:00";"0,93";"60 minučių";"60 minučių bilietas";"263";"244,59";"EUR"
"2017-04-05 00:00:00";"0,64";"30 minučių";"30 minučių bilietas";"5619";"3596,16";"EUR"
"2017-04-04 00:00:00";"14,48";"30 dienų";"30 dienų bilietas su 50% nuolaida";"4";"57,92";"EUR"
"2017-04-04 00:00:00";"1,74";"1 dienos";"1 dienos (24 valandų) bilietas su 50% nuolaida";"3";"5,22";"EUR"
"2017-04-04 00:00:00";"0,46";"60 minučių";"60 minučių bilietas su 50% nuolaida";"34";"15,64";"EUR"
"2017-04-04 00:00:00";"0,32";"30 minučių";"30 minučių bilietas su 50% nuolaida";"266";"85,12";"EUR"
"2017-04-04 00:00:00";"17,38";"3 mėnesių";"3 mėnesių (90 dienų) bilietas su 80% nuolaida";"1";"17,38";"EUR"
"2017-04-04 00:00:00";"5,79";"30 dienų";"30 dienų bilietas su 80% nuolaida";"61";"353,19";"EUR"
"2017-04-04 00:00:00";"5,21";"30 dienų";"30 d. bilietas, galioja tik darbo d. su 80% nuolaida";"2";"10,42";"EUR"
"2017-04-04 00:00:00";"2,37";"10 dienų";"10 dienų (240 val.) bilietas su 80% nuolaida";"5";"11,85";"EUR"
"2017-04-04 00:00:00";"1,22";"3 dienų";"3 dienų (72 val.) bilietas su 80% nuolaida";"14";"17,08";"EUR"
